success,steps,distance,min_distance,neural_updates,min_distractor_distance,case,light_level
True,1012,0.5975118196738612,0.5975118196738612,51,inf,light_025,0.25
True,996,0.5969478064466532,0.5969478064466532,50,inf,light_050,0.5
True,994,0.5953675358981457,0.5953675358981457,50,inf,light_150,1.5
True,2021,0.5982642589072138,0.5982642589072138,102,0.21680229098835824,red_distractor,1.0
True,2062,0.5956109095728824,0.5956109095728824,104,0.21681285907584366,amber_distractor,1.0
