success,steps,distance,flyvis_updates,last_motion,start_yaw,condition
True,1284,0.5988610327959245,0,0.0,135.0,camera_only
True,1195,0.5992300414647214,12,-0.06937962316058495,135.0,camera_flyvis
True,1123,0.5988527131596306,0,0.0,180.0,camera_only
True,1043,0.5996283653320854,11,-0.07767073334204955,180.0,camera_flyvis
True,961,0.5989793677654133,0,0.0,225.0,camera_only
True,896,0.5963928960269983,9,-0.06868056320472733,225.0,camera_flyvis
