success,steps,distance,min_distance,neural_updates,min_distractor_distance,food_hue,food_rgba
True,994,0.5982251333370514,0.5982251333370514,50,inf,orange,"(1.0, 0.35, 0.02, 1.0)"
True,994,0.5978737675398417,0.5978737675398417,50,inf,red,"(1.0, 0.05, 0.02, 1.0)"
True,994,0.5982261444751864,0.5982261444751864,50,inf,amber,"(1.0, 0.55, 0.02, 1.0)"
True,995,0.5983750236682975,0.5983750236682975,50,inf,dim_orange,"(0.55, 0.18, 0.01, 1.0)"
